,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,ABB.NS,ADANIENSOL.NS,ADANIGREEN.NS,ADANIPOWER.NS,ATGL.NS,AMBUJACEM.NS,BAJAJHLDNG.NS,BANKBARODA.NS,BERGEPAINT.NS,BEL.NS,BOSCHLTD.NS,CANBK.NS,CHOLAFIN.NS,COLPAL.NS,DABUR.NS,DLF.NS,DMART.NS,GAIL.NS,GODREJCP.NS,HAVELLS.NS,HAL.NS,ICICIGI.NS,ICICIPRULI.NS,IOC.NS,INDIGO.NS,NAUKRI.NS,IRCTC.NS,IRFC.NS,JINDALSTEL.NS,JIOFIN.NS,LICI.NS,MARICO.NS,PIDILITIND.NS,PFC.NS,PNB.NS,RECLTD.NS,MOTHERSON.NS,SBICARD.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,TATAPOWER.NS,TORNTPHARM.NS,TRENT.NS,TVSMOTOR.NS,VBL.NS,VEDL.NS,ZOMATO.NS,ZYDUSLIFE.NS,UNITDSPR.NS
Total Return,0.4310557643412434,-0.5468454768155373,-0.17905695980394698,0.14096333538582617,0.08204492614387138,-0.0679719861206477,-0.30267283587038907,-0.10703965034337504,0.045947213127037756,0.5212067265005578,-0.061201183284318894,-0.21226446575421698,-0.30751207377233447,-0.20660733757943284,-0.0616284465721787,-0.10700314407656564,-0.17335998225077898,-0.2634663216642247,-0.24209236957260205,0.18060930774027484,0.1478155373888308,-0.23283470567565656,-0.19561838182204783,-0.2460526217652076,-0.05851709160239604,-0.25077328715322944,0.1491314392985077,0.02479979494779494,-0.1192327855386679,0.10319236227419637,0.051688833282196534,-0.14897006265547497,0.0062050077784359114,-0.19441251546108318,-0.5145003362248315,-0.6760798466017073,-0.16111911077733265,-0.2744140568928759,-0.22724776006473058,-0.12009458334546019,0.35042664706822046,-0.03864153274138726,-0.2896243211855536,0.1822201599849722,-0.41820193922618165,0.17188221561753791,-0.06059222249406526,-0.20432246089002648,-0.1898296371777919,-0.2192603015429545,0.45154793316347597,-0.18051965557073058,-0.07483129738612182,0.07852974828050696,0.7133405442161234,-0.701633615844369,-0.4943882318248204,-0.350063165122939,-0.11954029098066665,-0.2734397479976478,-0.4363196551932428,-0.1466815205865134,-0.5506344601255058,-0.1806959860723253,-0.3544430407333843,-0.27622232800838054,-0.040661379611893755,0.0020113310643889992,0.29701287023987,-0.059199436291916374,-0.20622442336847935,-0.10626541443542092,0.24611938379783527,-0.4382715689758787,0.3972160053442373,-0.36428271728264294,-0.1336755116594478,-0.3000758114966656,0.2931972519590298,-0.017179004315448276,-0.17833036238070843,-0.15324302395890999,0.059277960025720944,-0.08764616607545794,0.6358909437069467,-0.3068895276312009,0.21036746484246294,0.08969092040918647,-0.10120385532181753,-0.03608099004549925,-0.27412687106570666,-0.26642915234229214,-0.364325845650077,-0.3757068549029402,0.2476226123752694,-0.31336200893256916,-0.022430566978575928,-0.19536783924456647,-0.03521820192381664,0.06439894632754517
Sharpe Ratio,0.2680739306099105,-0.564393608837478,-0.12967068044465263,0.24055166029683664,0.13579457579412568,-0.08127947710468837,-0.3912043689526413,-0.10453900296900906,0.0919875369240595,0.5399184365637245,-0.06912674455593136,-0.21221501433018058,-0.3806066761461086,-0.18519767753364694,-0.03413647120427232,-0.09144318860322263,-0.2308093922927609,-0.39807153847354626,-0.3998975241521829,0.35117949111862606,0.21955584702426517,-0.33927812153131737,-0.33306484677565074,-0.2503904832586878,0.043904668599409585,-0.35860066225429704,0.1919090819849986,0.06921314640863893,-0.12632280540559795,0.17687866449291023,0.11332813784995699,-0.1783041313195122,0.036753687353802765,-0.27955722464752664,-0.7081989091325942,-0.910748228842576,-0.16955004655643932,-0.4737998878507145,-0.4776847268712275,-0.05301461891156869,0.39481385357332816,0.004785982295058347,-0.47108209675604734,0.22531195065932108,-0.4448676580538087,0.2512280116550447,-0.08439624750028867,-0.2611988986646851,-0.23501927886461982,-0.36313084624029524,0.4045227576156283,-0.3974223957707851,0.03765395308088413,0.12194563107773031,0.6201543859919372,-1.005867394149031,-0.604199204192902,-0.37644269149596177,-0.09971606382242584,-0.25329548620123193,-0.6344741224801619,-0.10395798484730238,-0.6015366057065865,-0.30607186209855014,-0.6077617609144943,-0.25433574707656875,-0.024490726146033297,0.041914369421965976,0.3270784771222895,-0.026621679520438302,-0.295134402744987,-0.15534854014405014,0.3749224829502671,-0.6090541122534954,0.40587655928460514,-0.3290672922411199,-0.16057410512383247,-0.6747091703547374,0.2952574672254661,-0.20685370646553206,-0.7593399250049274,-0.15421314862786487,0.11352957649800997,-0.029502986603839647,0.34283210015922627,-0.3166432168141586,0.19839205519375674,0.3284328978526466,-0.08605543541262954,-0.0025032414566858504,-0.2179074025887554,-0.28851593038136747,-0.3926709761080833,-0.4178940025559539,0.2623544154068421,-0.378928277189287,0.03741264015610411,-0.31929213571555265,0.00975481174606137,0.1077272419815818
Max Drawdown,-0.4574571941384987,-0.5501535995897667,-0.482913322770925,-0.12551092756318982,-0.16270717841285254,-0.26259380719382375,-0.3307572781691792,-0.21609736640050503,-0.1837548124239573,-0.14043644263871724,-0.1985654020677391,-0.3135522437124397,-0.34373040211627104,-0.3190828522371617,-0.23316678942149227,-0.2676040190019362,-0.21369714475415458,-0.3941486101252486,-0.29242293816888587,-0.1473053003885939,-0.16250778741992078,-0.2810375975607766,-0.2701557073924836,-0.36157102639837546,-0.2925115111013822,-0.35484920323409985,-0.15645875208633664,-0.2493011814395545,-0.22450347201825593,-0.11772385826739562,-0.27291619006473355,-0.3182249915122032,-0.18262436482230016,-0.22188684769469513,-0.5443842882349514,-0.7022306737913935,-0.2140878031217921,-0.2997876720878848,-0.30835775546080124,-0.4111677265027378,-0.17503021460526003,-0.2570701375644334,-0.33428375045962566,-0.24413849534919096,-0.4871959408427219,-0.1163900880098725,-0.20479100323901023,-0.23060119786671185,-0.27441774107148587,-0.3856898138818605,-0.14887157936929718,-0.27006814254905354,-0.4542810764268861,-0.30752427965584817,-0.27085013788724255,-0.7121556581116455,-0.5246663114917981,-0.4228624102848638,-0.30685684656834844,-0.37386936271971927,-0.4732018306154675,-0.3122604471890148,-0.5965544159080594,-0.30868313477177345,-0.38301241409099607,-0.34875438567443917,-0.2619087259010482,-0.3071720654058052,-0.27403569788286253,-0.3089160598213633,-0.3681801021678849,-0.2865968794504258,-0.11885023023119756,-0.4382715689758787,-0.2003219894891063,-0.5103201195795181,-0.252500991366329,-0.3775661809702975,-0.194069077138729,-0.07881672659356787,-0.19820083032603353,-0.22801885342171502,-0.1700405226451095,-0.29638225965915044,-0.15285202829839595,-0.34286201697588325,-0.4749853022092647,-0.09511539600599739,-0.2155012190585639,-0.2608278888951101,-0.4461927279553135,-0.3764416640101984,-0.5077226146711,-0.40099711839096563,-0.3381822012177548,-0.32539476595566375,-0.352024018763025,-0.4078828115722384,-0.2590958286852666,-0.23330882518380858
Final Portfolio Value,143105.57643412435,45315.452318446274,82094.3040196053,114096.33353858262,108204.49261438714,93202.80138793524,69732.71641296109,89296.03496566249,104594.72131270377,152120.67265005579,93879.88167156812,78773.5534245783,69248.79262276656,79339.26624205672,93837.15534278213,89299.68559234343,82664.0017749221,73653.36783357753,75790.7630427398,118060.93077402748,114781.55373888309,76716.52943243434,80438.16181779522,75394.73782347924,94148.29083976039,74922.67128467705,114913.14392985078,102479.97949477949,88076.7214461332,110319.23622741963,105168.88332821966,85102.99373445251,100620.5007778436,80558.74845389168,48549.96637751685,32392.01533982927,83888.08892226673,72558.5943107124,77275.22399352695,87990.54166545399,135042.66470682205,96135.84672586128,71037.56788144464,118222.01599849723,58179.806077381836,117188.22156175379,93940.77775059348,79567.75391099736,81017.03628222081,78073.96984570455,145154.79331634758,81948.03444292695,92516.87026138781,107852.97482805069,171334.05442161232,29836.638415563106,50561.17681751796,64993.6834877061,88045.97090193334,72656.02520023522,56368.03448067572,85331.84794134866,44936.55398744942,81930.40139276747,64555.695926661574,72377.76719916194,95933.86203881062,100201.1331064389,129701.287023987,94080.05637080836,79377.55766315207,89373.4585564579,124611.93837978353,56172.84310241213,139721.60053442372,63571.72827173571,86632.44883405522,69992.41885033344,129319.72519590298,98282.09956845517,82166.96376192916,84675.697604109,105927.7960025721,91235.38339245421,163589.09437069466,69311.04723687991,121036.7464842463,108969.09204091865,89879.61446781825,96391.90099545008,72587.31289342933,73357.0847657708,63567.415434992305,62429.31450970598,124762.26123752694,68663.79910674308,97756.9433021424,80463.21607554336,96478.17980761833,106439.89463275451
