"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2024","EQ","1,124.00","1,125.00","1,101.85","1,117.75","1,104.00","1,107.20","1,115.00","1,125.00","730.55","5,63,368","62,81,54,707.95","28,309"
"29-Dec-2023","EQ","1,093.80","1,122.00","1,085.40","1,093.80","1,116.00","1,117.75","1,107.49","1,122.00","730.55","14,11,353","1,56,30,54,333.85","49,779"
"28-Dec-2023","EQ","1,086.40","1,103.80","1,083.00","1,083.20","1,093.00","1,093.80","1,092.90","1,115.75","730.55","6,85,526","74,92,08,263.75","35,892"
"27-Dec-2023","EQ","1,078.95","1,090.05","1,075.35","1,077.05","1,083.40","1,083.20","1,081.93","1,115.75","730.55","5,02,279","54,34,28,648.75","31,735"
"26-Dec-2023","EQ","1,097.30","1,108.90","1,072.20","1,076.00","1,077.95","1,077.05","1,082.75","1,115.75","730.55","7,84,200","84,90,94,200.85","36,779"
"22-Dec-2023","EQ","1,061.00","1,084.50","1,061.00","1,059.20","1,073.30","1,076.00","1,076.46","1,115.75","730.55","6,24,137","67,18,60,093.90","34,413"
"21-Dec-2023","EQ","1,050.00","1,067.80","1,047.55","1,059.95","1,061.00","1,059.20","1,057.39","1,115.75","730.55","12,14,989","1,28,47,11,253.60","43,751"
"20-Dec-2023","EQ","1,090.00","1,095.00","1,050.00","1,086.25","1,055.75","1,059.95","1,075.50","1,115.75","730.55","13,12,725","1,41,18,29,562.80","67,622"
"19-Dec-2023","EQ","1,111.00","1,112.95","1,083.05","1,105.15","1,088.00","1,086.25","1,092.45","1,115.75","730.55","10,62,384","1,16,05,99,585.45","47,432"
"18-Dec-2023","EQ","1,079.30","1,115.75","1,061.30","1,083.25","1,103.00","1,105.15","1,091.59","1,115.75","730.55","17,80,071","1,94,31,09,033.65","74,287"
"15-Dec-2023","EQ","1,092.00","1,095.00","1,078.05","1,084.80","1,080.00","1,083.25","1,085.25","1,110.00","730.55","13,22,021","1,43,47,21,296.60","40,189"
"14-Dec-2023","EQ","1,083.85","1,089.90","1,076.55","1,072.60","1,089.70","1,084.80","1,083.20","1,110.00","730.55","20,77,791","2,25,06,67,513.10","65,085"
"13-Dec-2023","EQ","1,056.00","1,074.40","1,048.25","1,050.00","1,074.00","1,072.60","1,061.12","1,110.00","730.55","14,73,906","1,56,39,87,520.05","55,169"
"12-Dec-2023","EQ","1,052.00","1,056.90","1,043.20","1,047.60","1,051.90","1,050.00","1,049.54","1,110.00","730.55","6,97,698","73,22,58,654.30","43,499"
"11-Dec-2023","EQ","1,043.00","1,052.00","1,041.30","1,045.25","1,046.80","1,047.60","1,046.78","1,110.00","730.55","5,69,735","59,63,86,652.65","35,629"
"08-Dec-2023","EQ","1,069.00","1,073.00","1,032.75","1,066.05","1,045.25","1,045.25","1,046.70","1,110.00","730.55","9,08,224","95,06,42,587.00","38,853"
"07-Dec-2023","EQ","1,061.95","1,073.70","1,057.50","1,061.95","1,065.20","1,066.05","1,065.21","1,110.00","730.55","8,32,078","88,63,37,032.75","46,600"
"06-Dec-2023","EQ","1,077.40","1,077.40","1,056.30","1,068.90","1,060.00","1,061.95","1,062.30","1,110.00","730.55","23,79,141","2,52,73,54,192.15","44,499"
"05-Dec-2023","EQ","1,050.00","1,081.50","1,049.30","1,050.35","1,069.50","1,068.90","1,069.88","1,110.00","730.55","12,49,769","1,33,70,98,059.35","68,427"
"04-Dec-2023","EQ","1,057.60","1,061.70","1,046.75","1,053.80","1,050.00","1,050.35","1,051.30","1,110.00","730.55","11,37,943","1,19,63,17,662.15","44,981"
"01-Dec-2023","EQ","1,049.95","1,057.00","1,047.70","1,048.85","1,051.65","1,053.80","1,052.87","1,110.00","730.55","2,69,341","28,35,81,020.95","17,789"
"30-Nov-2023","EQ","1,052.80","1,060.50","1,042.30","1,050.55","1,052.00","1,048.85","1,048.87","1,110.00","730.55","21,54,075","2,25,93,37,038.40","44,000"
