"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2019","EQ","634.00","634.00","619.00","635.80","620.20","621.00","623.45","4,005.15","438.20","12,92,037","80,55,14,577.85","20,903"
"31-Dec-2018","EQ","644.00","644.90","630.90","638.65","632.00","635.80","637.06","4,005.15","438.20","13,54,900","86,31,52,736.20","32,536"
"28-Dec-2018","EQ","636.95","640.00","634.00","631.60","640.00","638.65","637.64","4,005.15","438.20","15,41,941","98,32,06,879.20","49,467"
"27-Dec-2018","EQ","623.65","634.50","617.15","619.80","633.95","631.60","627.28","4,005.15","438.20","19,39,485","1,21,66,09,455.20","44,637"
"26-Dec-2018","EQ","607.00","623.30","588.60","608.65","619.60","619.80","607.49","4,005.15","438.20","28,30,572","1,71,95,56,372.00","47,291"
"24-Dec-2018","EQ","623.00","627.80","606.60","621.95","607.00","608.65","616.03","4,005.15","438.20","11,63,240","71,65,96,551.55","19,527"
"21-Dec-2018","EQ","639.95","642.60","617.80","637.55","621.00","621.95","626.72","4,005.15","438.20","13,51,216","84,68,33,460.75","29,515"
"20-Dec-2018","EQ","640.00","649.00","633.55","642.40","638.00","637.55","642.35","4,005.15","438.20","12,76,198","81,97,66,988.95","44,267"
"19-Dec-2018","EQ","653.00","655.95","635.85","645.00","642.20","642.40","648.47","4,005.15","438.20","40,08,028","2,59,90,93,505.10","78,438"
"18-Dec-2018","EQ","639.00","647.70","627.25","635.15","646.00","645.00","638.41","4,005.15","438.20","24,38,537","1,55,67,90,835.90","73,816"
"17-Dec-2018","EQ","625.00","640.70","625.00","626.75","633.15","635.15","633.92","4,005.15","438.20","11,47,005","72,71,04,787.35","39,524"
"14-Dec-2018","EQ","636.95","643.50","622.30","636.50","623.00","626.75","629.34","4,005.15","438.20","11,72,655","73,80,04,294.50","40,524"
"13-Dec-2018","EQ","642.50","648.60","630.20","640.85","637.00","636.50","639.48","4,005.15","438.20","16,34,609","1,04,52,93,800.70","42,829"
"12-Dec-2018","EQ","615.00","643.00","610.70","610.70","642.50","640.85","630.10","4,005.15","438.20","14,85,652","93,61,10,075.90","34,567"
"11-Dec-2018","EQ","612.50","624.00","606.25","619.75","611.45","610.70","614.96","4,005.15","438.20","10,46,506","64,35,61,705.60","28,267"
"10-Dec-2018","EQ","625.00","635.00","617.10","636.85","617.25","619.75","625.82","4,005.15","438.20","6,54,693","40,97,22,829.30","20,176"
"07-Dec-2018","EQ","646.00","650.80","630.80","644.10","633.00","636.85","641.28","4,005.15","438.20","8,17,334","52,41,40,128.65","28,067"
"06-Dec-2018","EQ","639.50","653.75","632.40","645.55","642.40","644.10","644.44","4,005.15","438.20","11,18,905","72,10,72,628.40","42,277"
"05-Dec-2018","EQ","655.05","655.05","641.10","658.00","644.60","645.55","647.92","4,005.15","438.20","6,34,807","41,13,05,986.30","27,324"
"04-Dec-2018","EQ","668.85","672.50","652.65","668.85","657.00","658.00","660.91","4,005.15","438.20","6,39,243","42,24,84,778.45","26,416"
"03-Dec-2018","EQ","675.00","676.60","660.45","672.40","671.00","668.85","666.78","4,005.15","438.20","10,56,341","70,43,51,816.45","36,734"
"30-Nov-2018","EQ","636.25","675.00","636.25","633.60","670.25","672.40","666.05","4,005.15","438.20","39,96,990","2,66,21,85,812.75","91,769"
"29-Nov-2018","EQ","638.50","642.45","629.30","635.20","636.30","633.60","635.07","4,005.15","438.20","19,24,604","1,22,22,57,886.85","40,618"
"28-Nov-2018","EQ","647.10","650.00","628.45","646.70","633.00","635.20","637.03","4,005.15","438.20","10,00,593","63,74,04,821.70","41,746"
"27-Nov-2018","EQ","637.00","650.00","634.00","637.15","646.30","646.70","642.36","4,005.15","438.20","9,56,364","61,43,25,637.30","37,529"
"26-Nov-2018","EQ","628.00","640.70","627.10","626.80","636.15","637.15","635.67","4,005.15","438.20","11,41,284","72,54,80,281.65","52,141"
"22-Nov-2018","EQ","633.00","640.90","623.00","638.00","628.00","626.80","632.36","4,005.15","438.20","9,38,568","59,35,16,273.20","34,354"
"21-Nov-2018","EQ","626.50","645.45","624.80","628.30","633.00","638.00","638.70","4,005.15","438.20","24,25,802","1,54,93,71,627.30","33,440"
"20-Nov-2018","EQ","651.00","652.00","623.25","650.95","624.75","628.30","635.60","4,005.15","438.20","27,81,080","1,76,76,48,065.25","55,728"
"19-Nov-2018","EQ","647.95","654.45","643.00","647.10","649.00","650.95","648.65","4,005.15","438.20","8,31,311","53,92,32,803.55","30,102"
"16-Nov-2018","EQ","646.00","652.80","641.95","643.60","647.10","647.10","648.11","4,005.15","438.20","15,12,060","97,99,73,890.35","48,358"
"15-Nov-2018","EQ","650.00","653.10","633.05","647.95","644.00","643.60","644.08","4,005.15","438.20","27,84,321","1,79,33,23,514.30","31,047"
"14-Nov-2018","EQ","639.05","653.00","634.15","638.35","648.20","647.95","645.06","4,005.15","438.20","17,17,750","1,10,80,43,999.50","41,853"
"13-Nov-2018","EQ","634.95","641.45","629.10","633.50","639.00","638.35","636.31","4,005.15","438.20","18,77,437","1,19,46,32,648.30","44,931"
"12-Nov-2018","EQ","626.00","641.80","625.20","625.45","637.10","633.50","635.50","4,005.15","438.20","28,76,707","1,82,81,45,306.30","42,343"
"09-Nov-2018","EQ","624.00","631.75","617.00","625.10","624.40","625.45","623.18","4,005.15","438.20","12,03,332","74,98,88,697.65","30,062"
"07-Nov-2018","EQ","626.60","632.50","621.10","625.95","624.20","625.10","627.37","4,005.15","438.20","2,50,830","15,73,63,512.65","4,497"
"06-Nov-2018","EQ","640.00","640.95","618.50","631.90","624.05","625.95","631.05","4,005.15","438.20","18,20,650","1,14,89,26,561.85","47,301"
"05-Nov-2018","EQ","614.00","638.00","610.00","614.90","637.00","631.90","625.01","4,005.15","438.20","13,21,439","82,59,17,550.50","35,181"
"02-Nov-2018","EQ","624.95","628.60","612.00","619.75","616.00","614.90","619.63","4,005.15","438.20","15,35,180","95,12,45,726.65","35,217"
"01-Nov-2018","EQ","601.00","634.00","595.00","576.80","620.00","619.75","614.38","4,005.15","438.20","63,27,332","3,88,73,80,296.65","1,19,081"
"31-Oct-2018","EQ","563.95","581.00","553.10","562.25","579.00","576.80","568.21","4,005.15","438.20","28,86,623","1,64,02,13,922.65","58,836"
"30-Oct-2018","EQ","533.70","565.70","531.35","536.85","561.05","562.25","551.02","4,005.15","438.20","26,22,983","1,44,53,23,561.25","42,934"
"29-Oct-2018","EQ","519.00","539.70","514.40","518.05","535.50","536.85","527.06","4,005.15","438.20","13,01,776","68,61,07,980.70","28,410"
"26-Oct-2018","EQ","537.00","538.80","515.10","535.50","516.50","518.05","525.16","4,005.15","438.20","12,74,221","66,91,64,828.70","29,407"
"25-Oct-2018","EQ","518.95","537.85","512.25","521.55","536.00","535.50","532.13","4,005.15","438.20","17,32,582","92,19,58,013.45","34,567"
"24-Oct-2018","EQ","519.50","527.50","508.15","511.95","524.50","521.55","518.25","4,005.15","438.20","11,67,721","60,51,70,816.60","23,401"
"23-Oct-2018","EQ","507.50","519.80","499.05","509.30","513.30","511.95","509.34","4,005.15","438.20","6,34,301","32,30,74,354.25","13,807"
"22-Oct-2018","EQ","530.80","537.90","506.20","529.80","512.70","509.30","518.74","4,005.15","438.20","11,24,949","58,35,60,460.00","22,725"
"19-Oct-2018","EQ","531.90","540.00","519.25","533.30","528.65","529.80","529.70","4,005.15","438.20","16,10,958","85,33,17,980.95","56,837"
"17-Oct-2018","EQ","531.50","551.70","523.40","526.45","534.10","533.30","540.59","4,005.15","438.20","39,02,709","2,10,97,47,063.40","68,700"
"16-Oct-2018","EQ","536.40","536.55","520.00","533.20","525.05","526.45","526.91","4,005.15","438.20","12,19,071","64,23,45,290.05","28,717"
"15-Oct-2018","EQ","526.00","541.75","522.10","521.70","535.00","533.20","534.56","4,005.15","438.20","17,01,165","90,93,68,300.05","36,825"
"12-Oct-2018","EQ","502.40","529.35","497.25","496.70","521.75","521.70","513.51","4,005.15","438.20","24,67,853","1,26,72,73,093.90","56,230"
"11-Oct-2018","EQ","460.00","499.50","452.40","471.60","495.90","496.70","484.31","4,005.15","438.20","24,91,373","1,20,65,96,439.35","57,867"
"10-Oct-2018","EQ","463.05","483.90","463.05","462.20","471.00","471.60","474.29","4,005.15","438.20","18,19,418","86,29,37,213.15","34,593"
"09-Oct-2018","EQ","468.15","468.75","438.20","464.70","465.00","462.20","452.71","4,005.15","438.20","22,20,759","1,00,53,53,440.30","51,259"
"08-Oct-2018","EQ","475.00","480.45","460.30","471.40","464.00","464.70","468.19","4,005.15","460.30","10,01,645","46,89,60,457.30","24,653"
"05-Oct-2018","EQ","490.20","490.30","466.00","490.15","469.00","471.40","479.61","4,005.15","466.00","10,46,998","50,21,53,487.20","36,474"
"04-Oct-2018","EQ","495.00","502.70","484.00","502.80","486.50","490.15","492.64","4,005.15","484.00","12,55,447","61,84,86,286.35","29,738"
"03-Oct-2018","EQ","516.55","516.55","499.00","516.55","500.95","502.80","505.68","4,005.15","495.00","11,24,397","56,85,86,394.60","42,089"
"01-Oct-2018","EQ","513.95","523.15","495.00","514.30","516.00","516.55","505.45","4,005.15","495.00","13,97,723","70,64,75,639.55","42,793"
"28-Sep-2018","EQ","519.00","529.00","505.00","514.85","514.15","514.30","519.05","4,005.15","505.00","16,30,419","84,62,76,082.80","39,977"
"27-Sep-2018","EQ","536.85","537.50","511.10","533.70","515.20","514.85","519.00","4,005.15","506.65","11,53,803","59,88,24,281.30","28,827"
"26-Sep-2018","EQ","530.15","544.50","527.40","530.10","535.70","533.70","536.50","4,005.15","506.65","11,94,600","64,09,05,859.30","19,341"
"25-Sep-2018","EQ","520.00","535.00","506.70","521.15","532.85","530.10","522.69","4,005.15","506.65","13,94,559","72,89,28,264.35","44,962"
"24-Sep-2018","EQ","541.70","541.70","513.35","537.15","519.00","521.15","522.31","4,005.15","506.65","10,29,721","53,78,36,438.40","26,348"
"21-Sep-2018","EQ","561.00","561.75","506.65","560.95","536.00","537.15","535.71","4,005.15","506.65","34,05,712","1,82,44,86,660.35","68,350"
"19-Sep-2018","EQ","570.00","573.00","553.45","567.55","562.00","560.95","563.44","4,005.15","548.00","8,63,419","48,64,86,793.15","27,189"
"18-Sep-2018","EQ","571.20","581.40","565.00","570.40","568.00","567.55","573.19","4,005.15","548.00","6,45,164","36,98,02,909.20","17,568"
"17-Sep-2018","EQ","582.20","582.20","568.35","581.90","570.45","570.40","574.20","4,005.15","548.00","9,12,697","52,40,75,071.85","21,345"
"14-Sep-2018","EQ","571.50","585.65","568.00","571.70","583.75","581.90","578.25","4,005.15","548.00","11,22,659","64,91,78,200.65","31,530"
"12-Sep-2018","EQ","581.00","598.50","565.65","578.30","571.50","571.70","581.14","4,005.15","548.00","25,88,213","1,50,41,06,958.20","70,289"
"11-Sep-2018","EQ","594.50","597.00","571.30","595.20","584.90","578.30","584.42","4,005.15","548.00","19,61,943","1,14,65,98,987.75","40,694"
"10-Sep-2018","EQ","603.00","604.95","589.05","605.10","594.00","595.20","595.67","4,005.15","548.00","7,17,543","42,74,15,302.00","16,176"
"07-Sep-2018","EQ","605.95","611.10","598.75","601.70","605.00","605.10","606.26","4,005.15","548.00","8,17,130","49,53,91,840.15","21,863"
"06-Sep-2018","EQ","599.90","606.80","591.00","594.15","600.95","601.70","599.32","4,005.15","548.00","7,46,384","44,73,24,624.80","17,939"
"05-Sep-2018","EQ","600.00","606.00","582.10","602.60","595.30","594.15","593.69","4,005.15","548.00","12,85,638","76,32,65,624.65","22,576"
"04-Sep-2018","EQ","610.00","614.85","593.25","609.65","602.80","602.60","605.95","4,005.15","548.00","12,00,690","72,75,53,309.30","25,248"
"03-Sep-2018","EQ","636.45","637.60","607.10","630.25","609.00","609.65","623.08","4,005.15","548.00","12,16,509","75,79,82,097.85","41,219"
