"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2020","EQ","601.00","602.70","595.80","599.55","596.80","596.90","599.24","674.00","496.80","3,72,494","22,32,11,442.85","7,352"
"31-Dec-2019","EQ","597.00","605.00","595.00","591.95","599.10","599.55","600.38","674.00","496.80","24,66,194","1,48,06,56,908.30","45,884"
"30-Dec-2019","EQ","591.95","595.80","589.40","589.80","592.00","591.95","592.60","674.00","496.80","5,91,123","35,02,96,697.85","16,103"
"27-Dec-2019","EQ","585.90","595.00","585.65","583.45","589.95","589.80","590.75","674.00","496.80","11,43,386","67,54,59,512.85","25,452"
"26-Dec-2019","EQ","592.00","596.30","581.70","591.30","589.70","583.45","587.96","674.00","496.80","11,58,893","68,13,84,972.90","36,037"
"24-Dec-2019","EQ","594.15","599.50","589.30","594.15","589.90","591.30","593.63","674.00","496.80","10,43,459","61,94,30,337.40","26,719"
"23-Dec-2019","EQ","599.90","601.85","590.70","598.20","593.00","594.15","594.93","674.00","496.80","5,54,934","33,01,45,487.65","18,429"
"20-Dec-2019","EQ","600.05","605.80","591.55","599.30","595.80","598.20","599.11","674.00","496.80","13,27,369","79,52,40,379.95","29,543"
"19-Dec-2019","EQ","593.90","608.50","593.90","593.85","598.05","599.30","603.35","674.00","496.80","23,61,340","1,42,47,14,900.95","45,965"
"18-Dec-2019","EQ","586.90","595.80","574.15","583.80","594.00","593.85","585.38","674.00","496.80","18,84,891","1,10,33,81,521.10","46,984"
"17-Dec-2019","EQ","593.00","595.55","582.00","591.25","584.65","583.80","588.51","674.00","496.80","17,07,930","1,00,51,25,640.10","46,131"
"16-Dec-2019","EQ","592.00","596.00","590.00","590.20","590.55","591.25","592.64","674.00","496.80","11,12,402","65,92,49,486.20","26,975"
"13-Dec-2019","EQ","595.00","595.00","587.25","592.00","589.30","590.20","591.22","674.00","496.80","8,29,328","49,03,12,871.95","34,796"
"12-Dec-2019","EQ","589.60","594.00","585.20","586.90","591.70","592.00","589.90","674.00","496.80","7,14,005","42,11,91,301.65","22,163"
"11-Dec-2019","EQ","585.00","590.00","579.50","584.85","586.95","586.90","586.06","674.00","496.80","5,52,314","32,36,90,505.25","26,929"
"10-Dec-2019","EQ","588.25","601.00","582.00","586.05","582.20","584.85","591.19","674.00","496.80","12,80,904","75,72,51,508.60","25,086"
"09-Dec-2019","EQ","588.65","599.10","584.70","593.25","588.25","586.05","590.74","674.00","496.80","9,17,364","54,19,24,262.35","24,201"
"06-Dec-2019","EQ","603.30","605.95","586.45","600.45","591.20","593.25","597.55","676.60","496.80","7,62,604","45,56,95,927.90","12,537"
"05-Dec-2019","EQ","595.10","603.00","592.55","594.60","600.45","600.45","598.30","676.60","496.80","8,46,201","50,62,78,072.25","25,450"
"04-Dec-2019","EQ","592.95","601.00","591.00","595.65","593.40","594.60","595.09","676.60","496.80","7,76,164","46,18,84,768.10","33,002"
"03-Dec-2019","EQ","607.90","609.35","592.20","603.90","593.05","595.65","598.09","676.60","496.80","10,98,309","65,68,91,634.95","27,470"
"02-Dec-2019","EQ","609.70","609.70","599.10","606.25","604.05","603.90","603.23","676.60","496.80","11,16,937","67,37,74,043.90","23,300"
"29-Nov-2019","EQ","605.00","613.65","598.55","604.70","606.20","606.25","606.17","676.60","496.80","13,58,216","82,33,15,730.35","45,288"
"28-Nov-2019","EQ","608.80","611.30","601.00","606.75","605.35","604.70","604.58","676.60","496.80","14,03,539","84,85,58,456.05","30,198"
"27-Nov-2019","EQ","611.90","613.75","602.00","609.65","607.15","606.75","608.14","676.60","496.80","14,41,634","87,67,18,955.45","43,926"
"26-Nov-2019","EQ","621.90","629.90","605.65","620.95","608.50","609.65","615.82","676.60","496.80","22,57,567","1,39,02,50,345.75","44,229"
"25-Nov-2019","EQ","607.00","623.00","607.00","611.10","620.20","620.95","617.59","676.60","496.80","8,29,182","51,20,97,357.75","18,921"
"22-Nov-2019","EQ","612.95","619.00","609.00","610.60","611.60","611.10","614.73","676.60","496.80","8,19,210","50,35,91,323.65","23,674"
"21-Nov-2019","EQ","612.10","617.55","607.05","611.60","609.80","610.60","613.04","676.60","496.80","8,37,443","51,33,84,938.45","20,379"
"20-Nov-2019","EQ","610.00","619.00","608.30","609.65","612.50","611.60","613.64","676.60","496.80","6,83,915","41,96,76,715.95","16,524"
