"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2022","EQ","891.40","892.00","875.20","878.15","876.00","877.55","883.29","958.00","712.00","10,33,608","91,29,70,663.30","34,083"
"29-Dec-2022","EQ","876.95","882.75","865.55","877.20","880.75","878.15","874.67","958.00","712.00","13,80,769","1,20,77,20,664.85","46,596"
"28-Dec-2022","EQ","880.50","883.60","875.00","880.65","876.00","877.20","879.23","958.00","712.00","5,87,480","51,65,32,586.05","24,472"
"27-Dec-2022","EQ","888.40","890.00","879.00","881.10","881.55","880.65","884.10","958.00","712.00","5,61,475","49,63,99,210.25","25,443"
"26-Dec-2022","EQ","874.20","888.05","864.45","874.25","879.60","881.10","879.77","958.00","712.00","6,25,140","54,99,81,524.20","29,049"
"23-Dec-2022","EQ","890.00","895.90","870.75","898.05","871.45","874.25","881.09","958.00","712.00","9,85,112","86,79,72,441.60","48,215"
"22-Dec-2022","EQ","903.00","909.00","890.35","903.00","895.35","898.05","897.55","958.00","712.00","5,19,054","46,58,78,128.95","30,729"
"21-Dec-2022","EQ","917.55","922.00","900.05","917.95","905.00","903.00","909.55","958.00","712.00","7,15,559","65,08,39,846.40","33,066"
"20-Dec-2022","EQ","914.20","919.80","905.00","914.20","917.00","917.95","912.87","958.00","712.00","4,52,102","41,27,09,812.55","19,628"
"19-Dec-2022","EQ","905.00","917.20","898.10","903.60","917.00","914.20","909.77","958.00","712.00","6,71,714","61,11,02,888.70","27,187"
"16-Dec-2022","EQ","933.00","939.55","902.00","939.00","902.55","903.60","913.34","958.00","712.00","13,24,668","1,20,98,65,758.85","45,012"
"15-Dec-2022","EQ","934.50","944.20","930.55","934.50","939.10","939.00","938.75","958.00","712.00","12,91,666","1,21,25,52,469.95","38,725"
"14-Dec-2022","EQ","932.55","937.70","930.85","932.25","932.00","934.50","934.57","958.00","712.00","5,63,572","52,66,96,048.35","34,035"
"13-Dec-2022","EQ","932.60","936.85","922.05","932.55","932.40","932.25","929.35","958.00","712.00","8,37,466","77,83,03,168.90","30,845"
"12-Dec-2022","EQ","938.50","942.30","927.60","938.00","932.00","932.55","935.75","958.00","712.00","9,91,836","92,81,12,097.30","35,013"
"09-Dec-2022","EQ","946.60","951.80","928.35","941.85","935.15","938.00","942.25","958.00","712.00","12,61,935","1,18,90,52,919.85","44,730"
"08-Dec-2022","EQ","940.00","947.00","935.00","935.05","941.00","941.85","941.40","958.00","712.00","8,67,087","81,62,73,644.80","41,446"
"07-Dec-2022","EQ","932.00","937.65","926.30","932.10","935.65","935.05","933.97","958.00","712.00","11,43,644","1,06,81,25,787.15","40,031"
"06-Dec-2022","EQ","929.60","936.85","923.15","929.60","930.85","932.10","929.81","958.00","712.00","5,58,757","51,95,35,490.95","26,924"
