"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","889.00","905.05","889.00","888.60","898.50","898.25","897.41","1,019.95","507.50","12,88,352","1,15,61,76,568.85","42,229"
"30-Dec-2021","EQ","890.00","893.50","880.10","891.65","888.60","888.60","887.80","1,019.95","507.50","10,67,763","94,79,59,759.25","28,504"
"29-Dec-2021","EQ","896.10","902.80","887.65","899.65","889.00","891.65","895.98","1,019.95","507.50","4,95,351","44,38,22,371.55","13,964"
"28-Dec-2021","EQ","887.80","903.00","886.90","884.10","897.50","899.65","897.73","1,019.95","507.50","7,62,782","68,47,70,863.70","20,337"
"27-Dec-2021","EQ","878.10","889.15","871.55","886.35","883.05","884.10","879.87","1,019.95","507.50","7,62,754","67,11,22,145.65","26,555"
"24-Dec-2021","EQ","909.05","909.05","884.25","904.15","885.15","886.35","892.18","1,019.95","507.50","5,94,280","53,02,03,408.85","16,370"
"23-Dec-2021","EQ","908.00","909.60","897.90","903.75","903.00","904.15","903.86","1,019.95","507.50","8,78,774","79,42,88,758.25","32,487"
"22-Dec-2021","EQ","888.85","905.95","888.85","888.85","905.90","903.75","900.30","1,019.95","507.50","8,02,240","72,22,57,434.10","25,225"
"21-Dec-2021","EQ","863.30","902.35","863.30","862.75","887.85","888.85","888.67","1,019.95","507.50","16,87,523","1,49,96,56,418.25","48,828"
"20-Dec-2021","EQ","873.00","873.00","848.50","882.80","863.00","862.75","860.30","1,019.95","507.50","14,79,264","1,27,26,09,279.65","40,933"
"17-Dec-2021","EQ","922.10","925.95","878.20","922.40","882.00","882.80","888.82","1,019.95","507.50","19,45,227","1,72,89,49,889.70","50,341"
"16-Dec-2021","EQ","926.05","932.65","918.00","922.00","923.65","922.40","925.23","1,019.95","507.50","8,13,792","75,29,47,984.40","23,518"
"15-Dec-2021","EQ","929.55","929.55","915.90","926.25","920.95","922.00","922.08","1,019.95","507.50","4,55,752","42,02,41,733.05","18,333"
"14-Dec-2021","EQ","914.25","938.90","910.00","920.90","925.00","926.25","929.21","1,019.95","507.50","12,80,644","1,18,99,87,771.40","33,456"
"13-Dec-2021","EQ","931.50","937.10","917.50","925.30","925.00","920.90","926.72","1,019.95","507.50","9,01,611","83,55,38,460.30","29,782"
"10-Dec-2021","EQ","929.70","934.65","921.55","929.95","925.00","925.30","928.31","1,019.95","507.50","13,53,888","1,25,68,33,138.45","33,069"
"09-Dec-2021","EQ","919.95","932.00","912.00","916.20","929.00","929.95","922.29","1,019.95","507.50","16,51,425","1,52,30,85,224.35","38,960"
"08-Dec-2021","EQ","899.00","919.00","899.00","896.15","915.50","916.20","913.16","1,019.95","507.50","16,61,995","1,51,76,71,836.55","46,680"
"07-Dec-2021","EQ","883.00","904.70","880.65","878.40","897.45","896.15","893.56","1,019.95","507.50","11,37,208","1,01,61,64,629.60","28,056"
"06-Dec-2021","EQ","898.00","901.80","875.10","895.15","880.50","878.40","891.08","1,019.95","507.50","13,70,051","1,22,08,21,530.60","32,304"
"03-Dec-2021","EQ","896.80","906.00","890.50","887.95","896.00","895.15","898.73","1,019.95","507.50","18,65,863","1,67,69,05,683.70","56,855"
"02-Dec-2021","EQ","877.85","889.90","867.85","874.05","888.55","887.95","879.21","1,019.95","507.50","8,78,830","77,26,77,117.15","25,987"
"01-Dec-2021","EQ","890.00","898.00","869.15","882.95","874.00","874.05","878.97","1,019.95","507.50","15,43,968","1,35,71,06,806.05","39,585"
