"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2021","EQ","579.00","583.95","577.00","578.25","580.20","581.50","580.74","742.70","442.65","8,73,143","50,70,72,782.25","19,136"
"31-Dec-2020","EQ","578.95","581.80","573.20","577.75","577.75","578.25","578.33","742.70","442.65","16,48,221","95,32,18,470.25","26,085"
"30-Dec-2020","EQ","574.50","580.50","571.60","570.20","576.95","577.75","576.66","742.70","442.65","18,58,973","1,07,19,86,958.45","33,592"
"29-Dec-2020","EQ","581.00","584.70","567.35","579.85","570.80","570.20","573.97","742.70","442.65","24,24,274","1,39,14,62,174.80","34,025"
"28-Dec-2020","EQ","571.00","580.80","570.50","569.35","580.00","579.85","576.85","742.70","442.65","12,81,903","73,94,63,713.70","32,470"
"24-Dec-2020","EQ","565.35","576.70","565.00","561.30","569.90","569.35","571.18","742.70","442.65","18,78,518","1,07,29,77,225.20","31,327"
"23-Dec-2020","EQ","556.60","568.20","555.75","555.80","564.30","561.30","562.48","742.70","442.65","18,70,824","1,05,22,97,275.55","29,687"
"22-Dec-2020","EQ","559.90","564.00","544.15","556.10","556.50","555.80","552.48","742.70","442.65","20,77,716","1,14,78,93,129.00","63,241"
"21-Dec-2020","EQ","589.00","594.25","550.10","588.45","555.30","556.10","573.28","742.70","442.65","27,46,593","1,57,45,59,175.40","59,817"
"18-Dec-2020","EQ","585.00","592.00","579.45","583.55","588.90","588.45","586.32","742.70","442.65","18,32,076","1,07,41,76,875.00","33,666"
"17-Dec-2020","EQ","598.00","599.70","582.20","594.85","582.80","583.55","589.20","742.70","442.65","19,16,274","1,12,90,70,653.70","34,134"
"16-Dec-2020","EQ","598.00","600.00","591.30","594.30","593.15","594.85","595.00","742.70","442.65","16,55,310","98,49,08,062.20","27,739"
"15-Dec-2020","EQ","596.00","598.45","584.00","595.65","593.95","594.30","591.06","742.70","442.65","13,73,269","81,16,81,964.05","54,499"
"14-Dec-2020","EQ","596.90","603.00","592.50","593.40","595.95","595.65","597.12","742.70","442.65","13,88,614","82,91,67,395.70","31,979"
"11-Dec-2020","EQ","597.90","602.75","586.10","593.00","593.00","593.40","595.09","742.70","442.65","18,38,624","1,09,41,51,075.05","44,572"
"10-Dec-2020","EQ","583.05","595.75","579.50","583.80","594.10","593.00","588.91","742.70","442.65","17,36,313","1,02,25,36,948.25","33,933"
"09-Dec-2020","EQ","587.40","592.55","582.30","586.30","583.25","583.80","586.94","742.70","442.65","13,69,040","80,35,41,187.65","28,549"
"08-Dec-2020","EQ","589.10","604.70","584.00","588.85","587.00","586.30","594.07","742.70","442.65","41,30,925","2,45,40,41,203.85","67,791"
"07-Dec-2020","EQ","585.00","590.95","581.15","579.60","588.40","588.85","586.87","742.70","442.65","26,31,889","1,54,45,78,839.65","53,067"
"04-Dec-2020","EQ","575.00","581.65","573.10","571.40","579.90","579.60","578.46","742.70","442.65","20,86,026","1,20,66,76,144.00","32,371"
"03-Dec-2020","EQ","571.00","575.75","565.25","569.40","572.40","571.40","571.01","742.70","442.65","22,34,949","1,27,61,83,014.85","32,914"
"02-Dec-2020","EQ","569.50","572.00","561.10","566.95","569.35","569.40","567.15","742.70","442.65","18,99,715","1,07,74,29,873.00","47,735"
"01-Dec-2020","EQ","554.00","569.15","547.00","548.40","566.00","566.95","559.48","742.70","442.65","23,08,974","1,29,18,28,343.35","42,841"
"27-Nov-2020","EQ","559.90","562.10","537.25","557.00","547.00","548.40","551.55","742.70","442.65","46,42,422","2,56,05,08,572.30","60,544"
"26-Nov-2020","EQ","552.00","559.45","550.55","550.20","557.25","557.00","555.74","742.70","442.65","24,90,769","1,38,42,22,961.10","36,292"
"25-Nov-2020","EQ","567.90","569.90","547.05","563.40","549.05","550.20","556.27","742.70","442.65","20,96,322","1,16,61,29,752.30","63,740"
"24-Nov-2020","EQ","568.40","572.75","561.85","566.80","563.75","563.40","566.25","742.70","442.65","7,97,636","45,16,58,311.90","30,421"
"23-Nov-2020","EQ","576.00","577.80","563.30","571.40","567.00","566.80","568.97","742.70","442.65","26,37,746","1,50,07,90,240.55","52,370"
"20-Nov-2020","EQ","577.00","587.00","565.90","572.05","572.80","571.40","578.31","742.70","442.65","32,12,681","1,85,79,12,329.85","57,580"
"19-Nov-2020","EQ","562.00","577.75","559.75","563.75","571.95","572.05","571.00","742.70","442.65","37,91,641","2,16,50,34,914.30","61,309"
"18-Nov-2020","EQ","561.00","564.90","554.00","560.25","562.25","563.75","560.46","742.70","442.65","12,48,153","69,95,40,378.75","30,060"
"17-Nov-2020","EQ","558.00","567.35","554.00","555.80","559.90","560.25","560.48","742.70","442.65","25,50,588","1,42,95,47,996.40","40,199"
"14-Nov-2020","EQ","559.00","559.20","552.65","554.80","553.25","555.80","557.02","742.70","442.65","1,72,352","9,60,04,041.20","6,110"
"13-Nov-2020","EQ","555.00","558.25","549.15","558.10","553.70","554.80","552.41","742.70","442.65","13,90,255","76,79,93,358.90","39,815"
"12-Nov-2020","EQ","571.25","571.25","555.30","569.05","556.95","558.10","558.94","742.70","442.65","22,74,509","1,27,13,07,499.95","46,680"
"11-Nov-2020","EQ","568.70","571.40","553.60","563.95","567.40","569.05","562.16","742.70","442.65","36,45,524","2,04,93,78,867.30","70,397"
"10-Nov-2020","EQ","561.35","575.75","558.00","555.80","564.40","563.95","568.34","742.70","442.65","39,05,043","2,21,93,93,754.40","90,196"
"09-Nov-2020","EQ","549.00","563.35","544.85","544.20","555.95","555.80","556.96","742.70","442.65","33,11,715","1,84,45,07,741.45","74,249"
"06-Nov-2020","EQ","535.95","553.10","533.40","533.95","542.75","544.20","544.89","742.70","442.65","39,09,524","2,13,02,44,011.25","61,433"
"05-Nov-2020","EQ","525.05","542.00","517.10","510.45","533.10","533.95","529.42","742.70","442.65","79,42,523","4,20,49,51,068.65","1,49,398"
"04-Nov-2020","EQ","512.00","515.50","508.50","509.70","510.30","510.45","511.68","742.70","442.65","11,34,793","58,06,54,854.35","21,387"
"03-Nov-2020","EQ","503.00","514.80","502.80","503.95","508.85","509.70","508.62","742.70","442.65","32,79,029","1,66,77,89,419.85","25,457"
"02-Nov-2020","EQ","508.00","508.35","500.10","504.30","504.00","503.95","502.52","742.70","442.65","13,50,151","67,84,73,017.85","18,819"
"30-Oct-2020","EQ","506.00","510.50","501.00","504.85","504.45","504.30","505.16","742.70","442.65","8,28,740","41,86,43,550.45","19,410"
"29-Oct-2020","EQ","510.00","513.45","502.25","512.45","504.70","504.85","506.55","742.70","442.65","14,82,596","75,10,14,703.95","28,699"
"28-Oct-2020","EQ","518.00","522.30","510.65","518.40","511.90","512.45","516.35","742.70","442.65","11,65,964","60,20,48,109.30","29,696"
"27-Oct-2020","EQ","517.75","520.35","510.20","516.30","516.85","518.40","516.63","742.70","442.65","6,86,289","35,45,58,002.45","14,499"
"26-Oct-2020","EQ","528.00","529.45","512.65","526.65","517.80","516.30","520.06","742.70","442.65","9,02,690","46,94,56,758.30","19,059"
"23-Oct-2020","EQ","518.00","529.85","517.80","515.20","527.65","526.65","523.88","742.70","442.65","13,39,601","70,17,91,295.65","24,566"
"22-Oct-2020","EQ","520.00","521.80","512.50","520.70","516.30","515.20","515.88","742.70","442.65","40,09,024","2,06,81,94,322.25","37,470"
"21-Oct-2020","EQ","516.00","525.90","514.00","514.10","519.20","520.70","521.48","742.70","442.65","26,42,016","1,37,77,55,282.15","43,637"
"20-Oct-2020","EQ","514.00","518.25","511.55","514.25","513.40","514.10","514.33","742.70","442.65","6,10,616","31,40,60,732.40","14,533"
"19-Oct-2020","EQ","513.90","516.95","510.75","510.05","513.95","514.25","513.59","742.70","442.65","5,87,946","30,19,61,081.25","11,288"
"16-Oct-2020","EQ","508.20","512.90","500.80","506.50","509.90","510.05","507.51","742.70","442.65","11,44,560","58,08,80,972.30","26,249"
"15-Oct-2020","EQ","527.00","527.00","502.90","524.05","504.00","506.50","514.67","742.70","442.65","11,29,763","58,14,59,636.55","26,386"
"14-Oct-2020","EQ","526.50","527.85","518.50","526.40","523.15","524.05","522.35","742.70","442.65","9,27,326","48,43,92,361.70","21,014"
"13-Oct-2020","EQ","533.95","535.40","525.05","530.95","525.50","526.40","530.72","742.70","442.65","15,25,944","80,98,47,873.50","27,512"
"12-Oct-2020","EQ","523.15","536.65","523.15","521.35","530.50","530.95","531.12","742.70","442.65","25,58,898","1,35,90,83,283.10","48,926"
"09-Oct-2020","EQ","522.45","526.95","517.45","520.65","522.10","521.35","521.96","742.70","442.65","11,32,946","59,13,57,328.45","26,047"
"08-Oct-2020","EQ","530.00","535.70","517.40","530.05","520.90","520.65","525.32","742.70","442.65","22,07,902","1,15,98,62,353.10","52,049"
"07-Oct-2020","EQ","527.35","534.25","525.10","527.50","529.60","530.05","530.35","742.70","442.65","16,37,674","86,85,42,331.70","27,235"
