"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Sep-2024","EQ","1,544.00","1,582.00","1,532.15","1,529.75","1,581.00","1,574.15","1,555.97","1,582.00","981.35","18,21,157","2,83,36,65,364.00","93,951"
"19-Sep-2024","EQ","1,564.00","1,570.00","1,522.30","1,537.75","1,538.00","1,529.75","1,534.40","1,570.00","981.35","15,28,204","2,34,48,69,774.30","58,968"
"18-Sep-2024","EQ","1,560.50","1,561.95","1,525.05","1,555.75","1,534.05","1,537.75","1,541.35","1,561.95","981.35","3,20,652","49,42,36,769.35","20,158"
"17-Sep-2024","EQ","1,547.00","1,559.25","1,540.80","1,547.25","1,550.00","1,555.75","1,552.83","1,559.25","981.35","12,24,149","1,90,08,97,961.90","38,540"
"16-Sep-2024","EQ","1,533.90","1,552.90","1,525.40","1,523.35","1,548.35","1,547.25","1,543.12","1,552.90","981.35","5,16,123","79,64,39,321.40","28,423"
"13-Sep-2024","EQ","1,529.20","1,543.00","1,515.60","1,529.20","1,524.00","1,523.35","1,528.70","1,543.00","981.35","5,51,554","84,31,63,017.65","45,181"
"12-Sep-2024","EQ","1,528.35","1,536.95","1,519.70","1,523.30","1,526.55","1,529.20","1,528.17","1,536.95","981.35","4,75,277","72,63,04,963.40","29,248"
"11-Sep-2024","EQ","1,512.05","1,531.25","1,505.85","1,508.20","1,526.00","1,523.30","1,523.13","1,531.25","981.35","6,22,732","94,84,99,222.15","34,362"
"10-Sep-2024","EQ","1,518.55","1,519.75","1,500.10","1,504.05","1,506.50","1,508.20","1,510.55","1,519.75","981.35","5,91,925","89,41,32,562.20","39,626"
"09-Sep-2024","EQ","1,463.65","1,506.90","1,463.65","1,461.70","1,499.50","1,504.05","1,486.14","1,514.00","981.35","17,91,287","2,66,21,08,771.00","59,721"
"06-Sep-2024","EQ","1,482.05","1,489.90","1,453.45","1,485.00","1,463.65","1,461.70","1,472.06","1,514.00","981.35","7,12,351","1,04,86,20,166.65","71,616"
"05-Sep-2024","EQ","1,514.00","1,514.00","1,481.75","1,499.35","1,481.80","1,485.00","1,495.51","1,514.00","981.35","6,89,394","1,03,09,93,381.35","37,164"
"04-Sep-2024","EQ","1,475.00","1,507.00","1,465.30","1,478.90","1,499.45","1,499.35","1,493.51","1,507.00","981.35","5,90,555","88,19,98,400.85","44,612"
