,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,ABB.NS,ADANIENSOL.NS,ADANIGREEN.NS,ADANIPOWER.NS,ATGL.NS,AMBUJACEM.NS,BAJAJHLDNG.NS,BANKBARODA.NS,BERGEPAINT.NS,BEL.NS,BOSCHLTD.NS,CANBK.NS,CHOLAFIN.NS,COLPAL.NS,DABUR.NS,DLF.NS,DMART.NS,GAIL.NS,GODREJCP.NS,HAVELLS.NS,HAL.NS,ICICIGI.NS,ICICIPRULI.NS,IOC.NS,INDIGO.NS,NAUKRI.NS,IRCTC.NS,IRFC.NS,JINDALSTEL.NS,JIOFIN.NS,LICI.NS,MARICO.NS,PIDILITIND.NS,PFC.NS,PNB.NS,RECLTD.NS,MOTHERSON.NS,SBICARD.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,TATAPOWER.NS,TORNTPHARM.NS,TRENT.NS,TVSMOTOR.NS,VBL.NS,VEDL.NS,ZOMATO.NS,ZYDUSLIFE.NS,UNITDSPR.NS
Total Return,-0.10371573181926941,-0.13861850205264448,-0.08499160823852348,-0.15399972059232414,-0.2706899671329335,0.011677862283091534,-0.2726081552279669,-0.04771969636697437,-0.05140536434450871,-0.19673217641273055,0.02581515096064191,0.0010078545371989822,0.023145054459271508,-0.13094053059857447,0.12456454246191617,-0.21064677428272605,0.05052054105877102,-0.015057716878991823,-0.1284397856713263,-0.03588324182697866,-0.045328706259725515,-0.11965286604125869,-0.09804426034782088,-0.13258583430842008,-0.3567168178075403,-0.18020932889169916,0.08301768726508496,-0.16442600753351067,-0.027758895316692067,-0.013822093466806629,-0.07453821159215823,-0.031107098959199053,-0.03784784543825537,-0.10583197687480961,-0.09694232842083672,-0.17941588235501393,0.029854872045584235,0.02932161006903322,0.042943375624045155,0.38718511964366864,-0.06644999206541236,0.03663535594436418,-0.03658086351140233,-0.006411481980244105,0.14861173852103193,-0.47545341427485666,0.14591943136853747,-0.13713704023670692,-0.024383250257141498,0.043925548941478265,-0.16319974906421908,0.02083574293461754,0.47491457204209886,-0.11047683946893205,-0.09591247260144631,-0.26332517352393847,-0.23974132000014348,-0.08002012423075022,-0.20138977154862625,0.1542038222050517,-0.13069502942175337,-0.0317532848234785,-0.2805911997369325,-0.10225789716536204,-0.18661117919477688,0.001966668626554924,-0.08500900144063717,-0.14994320766818803,-0.09897197149750858,-0.18489214909513885,0.013392993531399222,-0.04382837721240229,-0.10827714204088656,-0.06822799839488847,-0.04076186116934788,-0.13648791589909426,-0.13713248542314693,0.004311481757321101,-0.22208071305101096,-0.07477297944244155,-0.01858891975473287,-0.18555580280733475,0.010822338587570757,-0.2200354590038066,-0.11659670315827764,0.0829588427650183,-0.12539688541369398,-0.13127230465424022,-0.14023392056330475,-0.13408379799873393,-0.12711701674600717,-0.08382718872353223,-0.16027771995149986,-0.13986182943295722,-0.15956738711582996,-0.05183803589908087,-0.2899655676259987,0.11157428460878638,-0.13840846343754076,-0.09438984789584282
Sharpe Ratio,-0.18650802152202975,-0.2909044792510182,-0.22941084847125812,-0.43489992158269913,-0.7641583228920122,0.059397448923369935,-0.6815488479077797,-0.08684729184870457,-0.12063607639581254,-0.6465097892225156,0.09917898387853562,0.01675090464499701,0.07859207553588186,-0.46986849610667164,0.3136101939360661,-0.7102730106843773,0.19683958659267858,-0.029764576379556863,-0.4864741282474059,-0.120879356486025,-0.09181647645488374,-0.20083844616924573,-0.31751989950458187,-0.3754487098733427,-0.5498967655542397,-0.5151299898862847,0.22603887889170032,-0.4142762753798137,-0.0811367093463641,-0.03768194429333036,-0.3325285695493694,-0.07553026023596808,-0.07745810703886649,-0.5516250665302609,-0.5499288775759048,-0.38516394844642565,0.10945677632126938,0.09527712491270568,0.20455098445873088,0.4047147538299912,-0.23431189005063413,0.11820507558497459,-0.11020658108512067,0.007913173022133102,0.24733092156992906,-1.0379146652981095,0.4369898155275715,-0.4039662156706601,-0.06219189486192686,0.17469968537084954,-0.4813640272926672,0.7755878787878646,0.8107093590727836,-0.19007187869134387,-0.2558920554181947,-0.9620925114252762,-0.6697055005338856,-0.10157772270255065,-0.513784864506685,0.37683658782470186,-0.26077631624918873,-0.05863528897808973,-0.6125452047068011,-0.43888634988865355,-0.6722655480304077,0.03252423710600231,-0.3325297501687223,-0.4031734641567956,-0.2836349204141199,-0.5180775142156587,0.0830005746497277,-0.24585454908971366,-0.338879302367221,-0.10473390761715404,-0.07749912194936326,-0.3173394588445099,-0.7231234917680345,0.052091700702314725,-0.3884623151799141,-2.039393329631456,-0.37583551320687036,-0.5276410070201009,0.05084485053614371,-0.5773544539526948,-0.2572782973705867,0.20353911121309887,-0.25346137166675664,-0.8773399458792521,-0.4475036683184448,-0.5806312319129316,-0.33497237720946416,-0.22788852464815695,-0.49105408022907476,-0.3136719855029349,-0.2567349399366391,-0.08452562568887852,-0.6031906352772979,0.39380443789505626,-0.5144358132647114,-0.23121206659504545
Max Drawdown,-0.17742283911519252,-0.176235689888685,-0.10865264506338257,-0.17514540954775704,-0.2975883467525774,-0.053211822665153785,-0.28782265199936086,-0.16133783500256416,-0.0871957070195637,-0.2013559785654523,-0.0866728668734954,-0.06927050238433285,-0.05983818401256824,-0.16793831792975278,-0.07988141956791606,-0.22211936140977528,-0.045873132274975914,-0.0616683348996766,-0.13646907856023582,-0.07216710603847654,-0.09478032269763248,-0.13641685499116984,-0.14823404818404706,-0.14946826292251658,-0.3839873497621906,-0.20792624207877697,-0.05990370633250641,-0.21623987226264008,-0.09462627274619961,-0.08063492974047792,-0.09121755492294659,-0.12734754634571321,-0.08485633528189329,-0.1442955754541001,-0.11491471548994447,-0.24766287086989336,-0.06428473408073465,-0.10066876153654014,-0.058015691644134226,-0.13090945049130265,-0.07931875532043176,-0.04281772193624467,-0.13902724564702496,-0.14821957529567953,-0.09860378079893894,-0.47545341427485666,-0.042835409536762015,-0.16744119171243266,-0.09640530834548344,-0.06295245300177243,-0.1880443349887838,-0.009111268477284273,-0.05270265517936712,-0.2001113901005891,-0.14327840703933148,-0.26767580959105175,-0.2630870742471507,-0.14138010120138123,-0.23147206232661566,-0.05046453457516398,-0.2562594394823787,-0.08957716833314089,-0.31611777915666495,-0.11747750880044106,-0.21038577059159647,-0.1189257119112368,-0.09749042135153851,-0.15105258119561982,-0.10220439504403689,-0.18489214909513885,-0.07794878093342372,-0.12258917645560286,-0.1597480104461788,-0.12281658253077954,-0.12636549242027406,-0.19377300296425493,-0.13713248542314682,-0.04990406645792245,-0.3002489537556018,-0.07477297944244155,-0.04651670829563548,-0.22799783126803363,-0.059405390321245255,-0.22329329976602896,-0.1980547595792328,-0.11202031942735657,-0.1388414656994954,-0.14466657553826212,-0.15630137547710854,-0.14012810987768176,-0.18186863210598947,-0.12428568968468579,-0.1921136595946653,-0.16521181965482978,-0.17047525744570824,-0.21305889012517765,-0.29525957472440456,-0.06882088412140164,-0.16345808884066393,-0.15437122310176632
Final Portfolio Value,89628.42681807306,86138.14979473555,91500.83917614765,84600.02794076758,72931.00328670665,101167.78622830915,72739.18447720331,95228.03036330256,94859.46356554913,80326.78235872694,102581.51509606419,100100.7854537199,102314.50544592715,86905.94694014256,112456.45424619161,78935.32257172739,105052.0541058771,98494.22831210082,87156.02143286738,96411.67581730214,95467.12937402744,88034.71339587413,90195.57396521792,86741.416569158,64328.31821924597,81979.06711083009,108301.7687265085,83557.39924664893,97224.1104683308,98617.79065331933,92546.17884078418,96889.2901040801,96215.21545617447,89416.80231251904,90305.76715791633,82058.41176449861,102985.48720455842,102932.16100690332,104294.33756240451,138718.51196436686,93355.00079345876,103663.53559443641,96341.91364885977,99358.85180197559,114861.1738521032,52454.65857251434,114591.94313685375,86286.2959763293,97561.67497428585,104392.55489414783,83680.0250935781,102083.57429346176,147491.45720420987,88952.3160531068,90408.75273985536,73667.48264760616,76025.86799998565,91997.98757692498,79861.02284513737,115420.38222050517,86930.49705782466,96824.67151765215,71940.88002630675,89774.21028346379,81338.88208052231,100196.66686265549,91499.09985593628,85005.6792331812,90102.80285024914,81510.78509048611,101339.29935313993,95617.16227875977,89172.28579591135,93177.20016051116,95923.81388306522,86351.20841009058,86286.75145768531,100431.14817573212,77791.9286948989,92522.70205575584,98141.10802452671,81444.41971926653,101082.23385875707,77996.45409961934,88340.32968417223,108295.88427650183,87460.3114586306,86872.76953457597,85976.60794366953,86591.6202001266,87288.29832539929,91617.28112764678,83972.22800485001,86013.81705670428,84043.26128841701,94816.19641009191,71003.44323740013,111157.42846087864,86159.15365624592,90561.01521041572
