,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,LTIM.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,ABB.NS,ADANIENSOL.NS,ADANIGREEN.NS,ADANIPOWER.NS,ATGL.NS,AMBUJACEM.NS,BAJAJHLDNG.NS,BANKBARODA.NS,BERGEPAINT.NS,BEL.NS,BOSCHLTD.NS,CANBK.NS,CHOLAFIN.NS,COLPAL.NS,DABUR.NS,DLF.NS,DMART.NS,GAIL.NS,GODREJCP.NS,HAVELLS.NS,HAL.NS,ICICIGI.NS,ICICIPRULI.NS,IOC.NS,INDIGO.NS,NAUKRI.NS,IRCTC.NS,IRFC.NS,JINDALSTEL.NS,JIOFIN.NS,LICI.NS,MARICO.NS,PIDILITIND.NS,PFC.NS,PNB.NS,RECLTD.NS,MOTHERSON.NS,SBICARD.NS,SHREECEM.NS,SIEMENS.NS,SRF.NS,TATAPOWER.NS,TORNTPHARM.NS,TRENT.NS,TVSMOTOR.NS,VBL.NS,VEDL.NS,ZOMATO.NS,ZYDUSLIFE.NS,UNITDSPR.NS
Total Return,0.06531449660914523,-0.15716768453014385,0.0504316886558831,0.07381880459288936,0.030142512772404872,0.05117261930964068,-0.033129207145881856,-0.011161229403869877,0.03922768055110004,0.011770866097547295,0.13954429314435757,0.05466976174239546,-0.047487901183644765,0.04209888816089791,-0.0019428265306811188,0.18017563047140106,0.015459961657147137,-0.0041405049000535765,0.13749936533187146,0.02561697036663313,-0.006007797485345967,0.02076474417715457,0.014044649720680757,-0.058005852980410055,0.02323622175007589,-0.08071280983710383,-0.06481011888858446,-0.0046674551170355905,0.01265890647669754,0.13788540373211444,-0.011889228310124067,-0.05938107062616549,0.025098373657526762,-0.03705110412759449,-0.14735257084596798,-0.07179860165572338,-0.110485542068116,0.055293778023928875,-0.003093237922757175,-0.12225478376372811,0.057739347703106736,0.006656557983343747,0.013652648393183808,0.15855489456632776,-0.07477015021591105,-0.09304816035498809,-0.025666799381432015,-0.045763966251263,0.04205361235804794,0.010583849198424256,0.14394667395017757,-0.028842616755652917,-0.14046494926077435,0.03205082503709211,-0.18543260176445242,-0.06968948745607728,-0.016452983016445044,-0.10530984036857682,-0.04245556591438604,0.004620650562395134,0.010606465618980598,-0.059215894785576095,0.05469140610836365,0.04855382659954688,-0.08036329047273416,-0.22522349340978753,-0.034829491810532964,0.012167204087462524,0.04373500380868478,0.022375040772784294,0.07584787528030001,0.015605560588394907,0.02869132942744801,-0.15826775276485938,-0.030939504420633535,-0.03734733498594578,0.04024380250770143,0.008020041844074344,0.29903487035742726,0.0,-0.05553156389117886,0.08818362413281533,0.006330923399155086,0.05147514400775233,-0.2792931512973489,-0.12326989725023929,-0.04007380785572601,-0.011642236859870425,-0.014090005834672015,-0.03858651467974217,0.008338385143909832,-0.17339681638578752,-0.0734929661070951,0.00887218185213201,0.0006357322391272735,-0.03784340005692255,0.07727774090759398,0.003988239736831156,0.09676693217350496,0.040717723640337766
Sharpe Ratio,0.2405773549482245,-0.43073687694907614,0.23518269949670556,0.2939311683522483,0.16728236504556745,0.29082976103482966,-0.0682587252354793,-0.024686479558126,0.21292266076213165,0.051558662244349754,0.5129721448571584,0.23712395377179488,-0.1843190821313055,0.16489725669105468,-6.370032223819951e-06,0.5287651747121115,0.07668565003505542,-0.17832167073809824,0.5349674659573698,0.41318986145825487,-0.06012060040382742,0.19470108220535506,0.1018610055207356,-0.6406155070236967,0.19623476719638938,-0.4464324050369367,-0.38114067388468625,-0.25104608421304614,0.15534219931498297,0.4428860095593556,-0.4098373627654287,-0.3798186171849364,0.16507243743724945,-0.28985840256847734,-0.26633073751175323,-0.22497888036787794,-0.2547003671267197,0.17206912086898646,-0.6271058939794277,-0.3521765329418195,0.22481021151996497,0.03528070230533172,0.2503516357053144,0.3935543481706651,-0.15716651671439652,-0.587904009535763,-0.2341301568576813,-0.5412890640868603,0.25120232944492,0.08909082406975292,0.30828742925681746,-0.5088474231219775,-0.3503687542083347,0.09415306981327547,-0.5900305943242751,-0.25278867598359117,-0.07778023410104998,-0.3050410812480997,-0.42190437986039697,0.03154615493936381,0.08133506720887698,-0.08650076427295005,0.19618425282991223,0.3119423958066922,-0.5924245660558057,-0.41072610704295087,-0.3434459679110113,0.10441279131140198,0.3019226916190078,0.1073552698067888,0.29395904555300617,0.3588704760693881,0.20668143778947756,-0.4024405130445738,-0.09434736636877475,-0.529233371405202,0.5321120455258759,0.1538053982576274,0.5817125299155594,,-0.6717164984836251,0.46769819456539624,0.04012740178891906,0.14658210178313305,-0.5400494408222437,-0.5911155715640761,-0.34723774015042513,-0.5173340027966259,-0.06246508813095972,-0.19983355469901865,0.04230706020579669,-0.6554295229427481,-0.2652798127697785,0.0844672612641201,0.011932456252133686,-0.2276189421207148,0.2609583546413273,0.051485368532717346,0.4970042594919407,0.3501441700195731
Max Drawdown,-0.033912381475627584,-0.1891193444015803,-0.03743142114126674,-0.002738153160098622,-0.04353158143481417,-0.008850861622492934,-0.11996126947390195,-0.046566717010069314,-0.024021402665714175,-0.0696033323835824,-0.0010000000000000009,-0.04444908068896525,-0.0704560627003018,-0.054808624158764085,-0.06147391606025465,-0.009089003802845386,-0.05311759908621505,-0.008179844756584842,-0.014538443144649804,-0.001000000000000112,-0.032937717267761624,-0.02000229886931648,-0.026495103666550612,-0.060480285716285165,-0.01430811243740382,-0.08332120673039822,-0.08461403638571308,-0.007505804471225952,-0.011865437941619872,-0.007466428610287901,-0.011889228310124067,-0.06326755306904785,-0.03247385309770501,-0.049258005752075174,-0.1867929938895564,-0.10748780111005174,-0.1471116091018474,-0.0779601259523589,-0.003243298926049798,-0.12804100835473087,-0.05273451922565853,-0.08240386093848817,-0.005520851196151755,-0.024959304510490332,-0.12083486812314359,-0.09304816035498809,-0.037011548721725185,-0.04798359074843106,-0.03110253153552589,-0.022151675133097348,-0.06388781780531538,-0.052985258057227425,-0.20223218259490217,-0.1185883783006848,-0.18543260176445242,-0.07792021924693204,-0.041335648854995966,-0.14851085514495943,-0.04245556591438615,-0.032247639938643435,-0.03820470621340588,-0.15231960578386927,-0.033212622377395196,-0.004749627929792721,-0.08036329047273427,-0.22522349340978753,-0.03799570833815347,-0.023360203984879147,-0.0010000000000000009,-0.04515725467847442,-0.05337570321216112,-0.0010000000000000009,-0.019962814520417482,-0.16600751212413156,-0.09497337573979514,-0.03734733498594578,-0.009502082809125678,-0.02008043040788332,-0.03284322805164652,0.0,-0.05553156389117886,-0.014839091477458655,-0.05181524065338583,-0.04975434599317585,-0.2792931512973488,-0.12647444540860653,-0.04007380785572601,-0.011642236859870425,-0.03731835014933793,-0.06232606466188195,-0.05825833787574353,-0.18273426344368182,-0.10953993862036415,-0.031048750275082693,-0.04752854265654072,-0.054841217538440734,-0.03256506994109609,-0.05048462633672646,-0.001000000000000112,-0.016275185317889962
Final Portfolio Value,106531.44966091453,84283.23154698561,105043.1688655883,107381.88045928894,103014.25127724049,105117.26193096407,96687.07928541182,98883.877059613,103922.76805511,101177.08660975473,113954.42931443575,105466.97617423955,95251.20988163553,104209.88881608979,99805.7173469319,118017.56304714011,101545.9961657147,99585.94950999464,113749.93653318715,102561.69703666332,99399.2202514654,102076.47441771545,101404.46497206808,94199.41470195899,102323.6221750076,91928.71901628961,93518.98811114156,99533.25448829644,101265.89064766976,113788.54037321145,98811.0771689876,94061.89293738345,102509.83736575268,96294.88958724056,85264.7429154032,92820.13983442767,88951.4457931884,105529.37780239289,99690.67620772429,87774.5216236272,105773.93477031068,100665.65579833438,101365.26483931838,115855.48945663277,92522.9849784089,90695.1839645012,97433.3200618568,95423.6033748737,104205.3612358048,101058.38491984243,114394.66739501775,97115.73832443471,85953.50507392257,103205.08250370921,81456.73982355476,93031.05125439227,98354.7016983555,89469.01596314232,95754.44340856139,100462.06505623952,101060.64656189806,94078.41052144239,105469.14061083636,104855.38265995469,91963.67095272658,77477.65065902125,96517.05081894671,101216.72040874626,104373.50038086849,102237.50407727843,107584.78752803,101560.55605883949,102869.1329427448,84173.22472351407,96906.04955793664,96265.26650140542,104024.38025077015,100802.00418440743,129903.48703574273,100000.0,94446.84361088212,108818.36241328153,100633.09233991551,105147.51440077524,72070.68487026512,87673.01027497607,95992.6192144274,98835.77631401295,98590.9994165328,96141.34853202579,100833.83851439098,82660.31836142125,92650.70338929049,100887.2181852132,100063.57322391272,96215.65999430775,107727.7740907594,100398.82397368312,109676.69321735049,104071.77236403378
